,Start,End,Style,StyleInd,hasIcon
0,0.0,11.67,Translator,-1,False
1,0.7,3.81,Yakumo,-1,False
2,3.81,6.75,Yakumo,-1,False
3,6.75,13.13,Yakumo,-1,False
4,13.33,16.08,Yakumo,-1,False
5,16.08,20.73,Yakumo,-1,False
6,20.73,25.06,Yakumo,-1,False
7,25.06,27.26,Yakumo,-1,False
8,27.26,30.56,Yakumo,-1,False
9,35.2,38.04,Question,-1,False
10,35.2,38.04,Yakumo,-1,False
11,35.9,37.1,Ramune,0,True
12,36.8,38.8,Hanabusa,1,True
13,38.04,40.6,Yakumo,-1,False
14,39.73,45.26,Ichinose,2,True
15,44.9,46.53,Yakumo,-1,False
16,46.36,51.1,Ichinose,2,True
17,50.26,53.1,Yakumo,-1,False
18,58.86,60.03,Ichinose,2,True
19,61.8,65.23,Question,-1,False
20,61.8,63.23,Yakumo,-1,False
21,65.03,67.36,Sumire,3,True
22,67.36,70.0,Yakumo,-1,False
23,70.0,71.3,Ichinose,2,True
24,71.3,73.2,Ema,4,True
25,73.2,74.76,Hinano,5,True
26,74.03,75.53,Ema,4,True
27,75.53,77.6,Hinano,5,True
28,76.6,78.13,Ichinose,2,True
29,78.13,79.86,Hanabusa,1,True
30,79.86,82.36,Mimitaya,7,True
31,82.36,84.56,Ema,4,True
32,83.66,86.16,Hanabusa,1,True
33,86.16,88.4,Hinano,5,True
34,88.4,89.73,Ramune,0,True
35,89.06,91.23,Ichinose,2,True
36,91.23,93.23,Yakumo,-1,False
37,93.23,95.0,Yakumo,-1,False
38,95.0,96.63,Hanabusa,1,True
39,96.63,97.4,Ichinose,2,True
40,97.4,98.63,Hinano,5,True
41,98.63,99.6,Ramune,0,True
42,103.76,107.8,Sumire,3,True
43,106.73,108.36,Ema,4,True
44,114.43,118.26,Hinano,5,True
45,119.03,122.36,Hinano,5,True
46,124.0,125.86,Hinano,5,True
47,125.33,127.43,Hanabusa,1,True
48,127.43,129.13,Ichinose,2,True
49,129.13,131.7,Yakumo,-1,False
50,131.26,133.43,Ichinose,2,True
51,133.43,137.16,Sumire,3,True
52,135.36,137.26,Hinano,5,True
53,137.26,139.26,Yakumo,-1,False
54,138.86,140.13,Sumire,3,True
55,138.96,141.5,Ramune,0,True
56,140.96,142.8,Yakumo,-1,False
57,141.76,143.46,Ichinose,2,True
58,144.26,147.2,Ichinose,2,True
59,147.2,148.7,Yakumo,-1,False
60,148.7,151.76,Ichinose,2,True
61,151.76,154.06,Hinano,5,True
62,151.76,157.06,Question,-1,False
63,151.76,157.06,Translator,-1,False
64,154.06,156.53,Ema,4,True
65,156.53,158.33,Asumi,6,True
66,157.93,162.43,Hinano,5,True
67,159.8,162.1,Yakumo,-1,False
68,162.1,163.7,Hanabusa,1,True
69,162.83,165.33,Asumi,6,True
70,164.66,166.4,Ema,4,True
71,166.4,168.23,Asumi,6,True
72,167.56,170.33,Mimitaya,7,True
73,170.33,172.93,Hanabusa,1,True
74,172.93,175.03,Ichinose,2,True
75,175.03,176.43,Ichinose,2,True
76,175.73,177.93,Yakumo,-1,False
77,177.93,179.53,Sumire,3,True
78,179.53,184.0,Yakumo,-1,False
79,181.83,184.0,Hinano,5,True
80,184.0,185.91,Sumire,3,True
81,184.0,188.73,Translator,-1,False
82,184.0,186.73,Yakumo,-1,False
83,186.73,189.26,Hanabusa,1,True
84,189.26,192.4,Yakumo,-1,False
85,189.96,191.03,Hinano,5,True
86,199.16,200.6,Yakumo,-1,False
87,200.6,201.53,Yakumo,-1,False
88,202.33,205.23,Asumi,6,True
89,204.03,206.9,Ema,4,True
90,206.9,210.06,Yakumo,-1,False
91,210.06,211.36,Asumi,6,True
92,211.36,218.96,Hinano,5,True
93,218.96,222.56,Asumi,6,True
94,222.56,224.46,Yakumo,-1,False
95,223.6,225.8,Ichinose,2,True
96,225.8,227.6,Mimitaya,7,True
97,227.6,229.5,Yakumo,-1,False
98,229.5,234.1,Question,-1,False
99,229.5,231.1,Sumire,3,True
100,230.76,232.6,Yakumo,-1,False
101,232.6,233.63,Ichinose,2,True
102,236.76,239.63,Asumi,6,True
103,239.63,242.7,Translator,-1,False
104,239.63,242.7,Yakumo,-1,False
105,241.13,243.9,Hanabusa,1,True
106,243.9,245.43,Ema,4,True
107,243.9,245.43,Hinano,5,True
108,245.43,246.43,Ramune,0,True
109,246.43,248.76,Asumi,6,True
110,249.06,250.23,Yakumo,-1,False
111,250.23,252.3,Ichinose,2,True
112,252.3,253.43,Sumire,3,True
113,253.43,256.46,Hanabusa,1,True
114,255.06,256.2,Hinano,5,True
115,255.53,256.7,Ema,4,True
116,257.36,258.16,Ramune,0,True
117,258.16,261.8,Yakumo,-1,False
118,265.1,267.23,Asumi,6,True
119,266.66,268.2,Mimitaya,7,True
120,268.2,270.8,Asumi,6,True
121,270.53,275.13,Yakumo,-1,False
122,275.13,278.26,Ichinose,2,True
123,277.03,278.86,Hanabusa,1,True
124,278.86,280.46,Asumi,6,True
125,280.16,281.33,Ichinose,2,True
126,280.66,282.9,Hanabusa,1,True
127,282.9,284.14,Sumire,3,True
128,284.14,285.5,Sumire,3,True
129,285.5,287.53,Ichinose,2,True
130,289.3,291.9,Sumire,3,True
131,291.9,292.76,Hinano,5,True
132,292.23,294.16,Sumire,3,True
133,294.16,296.33,Yakumo,-1,False
134,296.33,299.03,Yakumo,-1,False
135,300.06,303.63,Yakumo,-1,False
136,303.0,304.36,Mimitaya,7,True
137,303.0,304.36,Translator,-1,False
138,305.43,308.0,Yakumo,-1,False
139,308.0,310.3,Mimitaya,7,True
140,310.3,312.03,Ichinose,2,True
141,310.46,311.76,Mimitaya,7,True
142,313.06,315.53,Hanabusa,1,True
143,314.46,317.16,Sumire,3,True
144,317.16,318.83,Ema,4,True
145,318.83,320.5,Hanabusa,1,True
146,319.93,323.53,Sumire,3,True
147,323.53,325.9,Yakumo,-1,False
148,325.9,328.53,Mimitaya,7,True
149,329.16,333.06,Ichinose,2,True
150,332.03,335.86,Yakumo,-1,False
151,332.73,334.16,Ramune,0,True
152,336.4,337.56,Asumi,6,True
153,337.06,339.4,Ichinose,2,True
154,338.43,345.63,Hinano,5,True
155,338.43,345.63,Translator,-1,False
156,345.63,350.7,Hanabusa,1,True
157,346.03,347.8,Ichinose,2,True
158,348.1,350.06,Yakumo,-1,False
159,350.66,352.06,Yakumo,-1,False
160,352.06,356.23,Yakumo,-1,False
161,356.23,357.93,Ema,4,True
162,356.96,358.53,Hinano,5,True
163,358.53,360.53,Hanabusa,1,True
164,364.33,366.46,Yakumo,-1,False
165,366.1,367.4,Hanabusa,1,True
166,366.9,368.9,Asumi,6,True
167,368.53,372.1,Hanabusa,1,True
168,368.6,373.36,Yakumo,-1,False
169,372.93,375.35,Ichinose,2,True
170,375.35,375.7,Ichinose,2,True
171,375.7,378.5,Hanabusa,1,True
172,377.66,381.53,Sumire,3,True
173,381.1,383.03,Hinano,5,True
174,381.1,386.03,Question,-1,False
175,383.03,385.43,Mimitaya,7,True
176,384.06,386.73,Hanabusa,1,True
177,386.73,392.2,Ichinose,2,True
178,391.1,393.13,Ema,4,True
179,393.13,394.2,Ichinose,2,True
180,393.83,395.4,Hinano,5,True
181,395.4,396.96,Ema,4,True
182,396.96,399.76,Sumire,3,True
183,399.76,401.56,Ramune,0,True
184,400.96,402.8,Asumi,6,True
185,402.46,404.6,Sumire,3,True
186,403.46,406.1,Yakumo,-1,False
187,406.1,407.86,Asumi,6,True
188,407.26,409.53,Hanabusa,1,True
189,412.73,415.56,Mimitaya,7,True
190,416.76,420.26,Hanabusa,1,True
191,416.76,422.26,Translator,-1,False
192,418.03,421.27,Hinano,5,True
193,421.27,422.36,Hinano,5,True
194,422.36,424.46,Hinano,5,True
195,424.46,427.13,Hanabusa,1,True
196,427.13,429.33,Ema,4,True
197,428.66,431.5,Yakumo,-1,False
198,431.26,433.4,Ichinose,2,True
199,432.86,435.15,Yakumo,-1,False
200,435.15,437.4,Yakumo,-1,False
201,436.26,438.26,Ichinose,2,True
202,437.16,439.36,Hanabusa,1,True
203,439.36,441.53,Mimitaya,7,True
204,439.36,441.53,Question,-1,False
205,440.56,444.8,Asumi,6,True
206,443.93,445.53,Ichinose,2,True
207,446.0,448.13,Yakumo,-1,False
208,447.4,449.46,Asumi,6,True
209,449.46,452.13,Yakumo,-1,False
210,450.96,452.36,Hinano,5,True
211,452.36,453.53,Hanabusa,1,True
212,452.53,453.7,Yakumo,-1,False
213,453.7,456.17,Yakumo,-1,False
214,456.17,458.26,Yakumo,-1,False
215,458.26,460.1,Ramune,0,True
216,458.83,460.03,Hanabusa,1,True
217,460.03,462.7,Ramune,0,True
218,460.7,464.4,Yakumo,-1,False
219,462.53,464.06,Ichinose,2,True
220,465.3,466.93,Hanabusa,1,True
221,466.36,468.13,Yakumo,-1,False
222,467.13,468.93,Hanabusa,1,True
223,470.41,476.26,Translator,-1,False
224,473.03,474.5,Hanabusa,1,True
225,475.06,479.33,Ichinose,2,True
226,479.33,481.56,Yakumo,-1,False
227,479.5,482.13,Ema,4,True
228,482.13,484.46,Asumi,6,True
229,485.0,489.16,Question,-1,False
230,485.0,486.16,Yakumo,-1,False
231,486.16,487.7,Mimitaya,7,True
232,489.06,490.83,Ichinose,2,True
233,490.83,492.98,Ichinose,2,True
234,492.98,494.66,Ichinose,2,True
235,494.66,500.1,Sumire,3,True
236,500.53,501.63,Ichinose,2,True
237,501.63,503.3,Mimitaya,7,True
238,503.3,505.93,Sumire,3,True
239,505.93,508.23,Mimitaya,7,True
240,506.4,510.33,Ichinose,2,True
241,511.2,513.33,Yakumo,-1,False
242,512.73,515.53,Ramune,0,True
243,515.33,518.56,Hanabusa,1,True
244,521.53,522.73,Mimitaya,7,True
245,522.73,525.9,Ichinose,2,True
246,525.9,526.96,Ema,4,True
247,526.16,527.9,Yakumo,-1,False
248,527.06,529.6,Sumire,3,True
249,528.73,532.96,Hanabusa,1,True
250,531.96,533.36,Yakumo,-1,False
251,533.36,534.96,Hanabusa,1,True
252,537.7,540.46,Ichinose,2,True
253,541.36,545.5,Yakumo,-1,False
254,545.5,546.73,Yakumo,-1,False
255,546.73,547.4,Hanabusa,1,True
256,547.4,548.93,Yakumo,-1,False
257,547.7,550.33,Hinano,5,True
258,549.36,551.76,Yakumo,-1,False
259,551.76,555.73,Sumire,3,True
260,554.53,556.6,Hanabusa,1,True
261,558.56,560.6,Ramune,0,True
262,559.46,561.2,Hanabusa,1,True
263,561.8,566.53,Question,-1,False
264,562.53,564.66,Asumi,6,True
265,564.66,567.43,Asumi,6,True
266,565.3,566.36,Mimitaya,7,True
267,566.96,568.23,Sumire,3,True
268,569.63,574.66,Ichinose,2,True
269,572.06,573.23,Asumi,6,True
270,573.63,575.43,Ramune,0,True
271,575.43,578.1,Sumire,3,True
272,577.06,581.26,Ichinose,2,True
273,581.26,583.36,Asumi,6,True
274,583.93,585.53,Ema,4,True
275,583.93,585.53,Ramune,0,True
276,583.93,585.53,Yakumo,-1,False
277,585.53,586.2,Hinano,5,True
278,586.53,590.93,Ichinose,2,True
279,590.93,592.83,Yakumo,-1,False
280,591.43,594.46,Ichinose,2,True
281,592.53,595.96,Asumi,6,True
282,595.96,601.63,Ichinose,2,True
283,601.63,606.76,Hanabusa,1,True
284,606.76,611.43,Hinano,5,True
285,612.06,617.93,Asumi,6,True
286,617.46,621.66,Ichinose,2,True
287,619.5,624.5,Hanabusa,1,True
288,623.26,624.9,Ramune,0,True
289,631.3,633.6,Hanabusa,1,True
290,632.4,635.2,Sumire,3,True
291,634.63,636.46,Ichinose,2,True
292,636.46,644.03,Yakumo,-1,False
293,645.03,649.03,Yakumo,-1,False
294,649.03,652.36,Yakumo,-1,False
295,652.36,653.3,Yakumo,-1,False
296,653.3,657.76,Ichinose,2,True
297,656.93,657.93,Yakumo,-1,False
298,657.93,659.3,Ichinose,2,True
299,659.8,661.93,Question,-1,False
300,659.8,661.33,Ramune,0,True
301,661.33,664.63,Ema,4,True
302,663.36,664.86,Ichinose,2,True
303,664.86,665.66,Ramune,0,True
304,665.2,667.43,Ema,4,True
305,667.43,671.73,Ramune,0,True
306,667.73,668.76,Ichinose,2,True
307,669.7,671.73,Hanabusa,1,True
308,672.46,674.1,Mimitaya,7,True
309,674.1,676.0,Mimitaya,7,True
310,676.0,679.56,Hinano,5,True
311,679.56,681.53,Ichinose,2,True
312,683.33,684.9,Ema,4,True
313,684.3,687.13,Hanabusa,1,True
314,684.76,687.0,Hinano,5,True
315,687.0,688.2,Hanabusa_RHS,8,False
316,687.0,688.2,Ramune,0,True
317,688.2,690.0,Ramune,0,True
318,689.93,698.03,Hinano,5,True
319,698.03,702.66,Ichinose,2,True
320,702.4,703.93,Ema,4,True
321,703.93,708.16,Sumire,3,True
322,707.23,709.36,Hinano,5,True
323,709.36,711.5,Yakumo,-1,False
324,712.2,716.83,Question,-1,False
325,712.2,715.83,Yakumo,-1,False
326,715.83,717.6,Asumi,6,True
327,717.6,719.26,Yakumo,-1,False
328,718.46,720.7,Mimitaya,7,True
329,720.13,721.1,Asumi,6,True
330,722.36,724.2,Ichinose,2,True
331,724.2,726.66,Ema,4,True
332,726.96,728.36,Ema,4,True
333,727.63,730.26,Ichinose,2,True
334,730.06,731.7,Ema,4,True
335,731.7,733.16,Hanabusa,1,True
336,733.16,734.73,Yakumo,-1,False
337,734.73,738.33,Ema,4,True
338,738.53,741.46,Ichinose,2,True
339,741.93,743.96,Sumire,3,True
340,747.43,748.76,Yakumo,-1,False
341,748.83,750.03,Ema,4,True
342,750.03,752.59,Ichinose,2,True
343,752.59,754.96,Ichinose,2,True
344,753.63,755.18,Sumire,3,True
345,755.18,757.65,Sumire,3,True
346,757.65,759.16,Sumire,3,True
347,759.16,763.4,Ichinose,2,True
348,762.5,765.58,Sumire,3,True
349,765.58,765.93,Sumire,3,True
350,765.63,768.52,Ichinose,2,True
351,768.52,770.86,Ichinose,2,True
352,770.86,773.0,Ichinose,2,True
353,773.0,774.4,Sumire,3,True
354,774.1,778.06,Ichinose,2,True
355,775.46,779.96,Yakumo,-1,False
356,777.76,781.16,Sumire,3,True
357,779.9,781.3,Ichinose,2,True
358,781.03,784.46,Question,-1,False
359,782.96,787.8,Sumire,3,True
360,786.43,788.9,Ichinose,2,True
361,788.66,791.6,Sumire,3,True
362,790.1,791.66,Ema,4,True
363,792.4,794.56,Ichinose,2,True
364,794.56,796.43,Sumire,3,True
365,796.43,798.46,Yakumo,-1,False
